fic_id,chapter_id,para_id,text,text_tokenized
emma_40,1,95,"I do not advise you to give way to it , Harriet . ","I do not advise you to give way to it , Harriet . "
emma_40,1,96,I do not by any means engage for its being returned . ,I do not by any means engage for its being returned . 
emma_40,1,97,Consider what you are about . ,Consider what you are about . 
emma_40,1,98,"Perhaps it will be wisest in you to check your feelings while you can : at any rate do not let them carry you far , unless you are persuaded of his liking you . Be observant of him . ","Perhaps it will be wisest in you to check your feelings while you can : at any rate do not let them carry you far , unless you are persuaded of his liking you . Be observant of him . "
emma_40,1,99,Let his behaviour be the guide of your sensations . ,Let his behaviour be the guide of your sensations . 
emma_40,1,100,"I give you this caution now , because I shall never speak to you again on the subject . ","I give you this caution now , because I shall never speak to you again on the subject . "
emma_40,1,101,I am determined against all interference . ,I am determined against all interference . 
emma_40,1,102,Henceforward I know nothing of the matter . ,Henceforward I know nothing of the matter . 
emma_40,1,103,"Let no name ever pass our lips . We were very wrong before ; we will be cautious now.--He is your superior , no doubt , and there do seem objections and obstacles of a very serious nature ; but yet , Harriet , more wonderful things have taken place , there have been matches of greater disparity . ","Let no name ever pass our lips . We were very wrong before ; we will be cautious now.--He is your superior , no doubt , and there do seem objections and obstacles of a very serious nature ; but yet , Harriet , more wonderful things have taken place , there have been matches of greater disparity . "
emma_40,1,104,But take care of yourself . ,But take care of yourself . 
emma_40,1,105,"I would not have you too sanguine ; though , however it may end , be assured your raising your thoughts to _ him _ , is a mark of good taste which I shall always know how to value . "" Harriet kissed her hand in silent and submissive gratitude . ","I would not have you too sanguine ; though , however it may end , be assured your raising your thoughts to _ him _ , is a mark of good taste which I shall always know how to value . "" Harriet kissed her hand in silent and submissive gratitude . "
emma_40,1,106,Emma was very decided in thinking such an attachment no bad thing for her friend . ,Emma was very decided in thinking such an attachment no bad thing for her friend . 
emma_40,1,107,Its tendency would be to raise and refine her mind-- and it must be saving her from the danger of degradation . ,Its tendency would be to raise and refine her mind-- and it must be saving her from the danger of degradation . 
